Reference number ,LA,Portal Link,Hector link,Development type,Date approved,Affordable,Overall Units,AH Units,Unclear,Shared Ownership,Rent to buy,Affordable Rent,Social Rent,On/offsite,Latitude,Longitude,Constructed,Mapped,Notes
18/72048/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?activeTab=dates&keyVal=PAX4U3NPMI100,https://dctmviewer.salford.gov.uk/PlanningApplications/ExternalEntryPoint.aspx?SEARCH_TYPE=1&DOC_CLASS_CODE=PLAN&Application_number=18%2f72048%2fFUL,Largescale major dwellings,12/12/2018,n/a,,,,,,,,,,,,,Student accomodatio 
119242/FO/2018,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=P4WS1GBCK7A00&activeTab=summary,,Smallscale major dwellings,30/11/2018,Paid under S106,85,,,,,,,,,,,,
17/70561/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?keyVal=OVHL0UNPKQU00&activeTab=summary,https://dctmviewer.salford.gov.uk/PlanningApplications/ExternalEntryPoint.aspx?SEARCH_TYPE=1&DOC_CLASS_CODE=PLAN&Application_number=17/70561/FUL,Major-Small Scale Dwellings,30/11/2018,n/a,24,,,,,,,,,,,,
14/65186/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?keyVal=N9M90VNP5Y000&activeTab=summary,,Largescale major dwellings,29/11/2018,No,244,,,,,,,,53.478986,-2.344298,,,
18/71500/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?keyVal=P59IEANPLV900&activeTab=summary,https://dctmviewer.salford.gov.uk/PlanningApplications/ExternalEntryPoint.aspx?SEARCH_TYPE=1&DOC_CLASS_CODE=PLAN&Application_number=18/71500/FUL,Major-Small Scale Dwellings,26/11/2018,n/a,,,,,,,,,,,,,Under 25
117411/FO/2017,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=OVHYR5BCG5D00&activeTab=summary,,Smallscale major dwellings,21/11/2018,Unclear,24,,,,,,,,,,,,
18/71344/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?keyVal=P3KE93NPLNX00&activeTab=summary,,Largescale major dwellings,21/11/2018,Yes,302,32,0,1,0,0,0,Onsite,53.537056,-2.399114,Yes,,
119731/FO/2018,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=P79NIQBCLBJ00&activeTab=summary,,Smallscale major dwellings,15/11/2018,Unclear,38,,,,,,,,,,,,
120665/FO/2018,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=PBY65PBCFVP00&activeTab=summary,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PBY65PBCFVP00,Smallscale major dwellings,15/11/2018,n/a,12,,,,,,,,,,,,
118303/FO/2017,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=P02GZ1BCI1X00&activeTab=summary,,Smallscale major dwellings,12/11/2018,Unclear,27,,,,,,,,,,,,
120099/FO/2018,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P94S8LBCM8Z00,https://dctmviewer.salford.gov.uk/PlanningApplications/ExternalEntryPoint.aspx?SEARCH_TYPE=1&DOC_CLASS_CODE=PLAN&Application_number=18/71500/FUL,Smallscale major dwellings,10/11/2018,n/a,10,,,,,,,,,,,,
120888/FO/2018,Manchester,https://pa.manchester.gov.uk/online-applications/applicationDetails.do?keyVal=PCVYV3BCGFQ00&activeTab=summary,,Smallscale major dwellings,05/11/2018,Yes ONLY,18,18,0,0,0,1,0,Onsite,53.387139,-2.261488,Yes,,
18/71785/FUL,Salford,https://publicaccess.salford.gov.uk/publicaccess/applicationDetails.do?keyVal=P88U8PNPM7100&activeTab=summary,https://dctmviewer.salford.gov.uk/PlanningApplications/ExternalEntryPoint.aspx?SEARCH_TYPE=1&DOC_CLASS_CODE=PLAN&Application_number=18/71785/FUL,Major-Small Scale Dwellings,02/11/2018,n/a,,,,,,,,,,,,,Under 25
