case_number,filename,contains_affordable
120665/FO/2018,120665_FO_2018-ISSUE_SHEET-942385.pdf,False
120665/FO/2018,120665_FO_2018-PHASE_I_-_GEOENVIRONMENTAL_SITE_INVESTIGATION_REPORT-946662.pdf,False
120665/FO/2018,120665_FO_2018-SITE_PLAN-1000408.pdf,False
120665/FO/2018,120665_FO_2018-LEVEL_2-1000420.pdf,False
120665/FO/2018,120665_FO_2018-TRANSPORT_STATEMENT-942384.pdf,False
120665/FO/2018,120665_FO_2018-LANDSCAPING_DETAILS-942372.pdf,False
120665/FO/2018,120665_FO_2018-LANDSCAPING_DETAILS-942371.pdf,False
120665/FO/2018,120665_FO_2018-FLOOD_RISK_AND_DRAINAGE_STRATEGY-963563.pdf,False
120665/FO/2018,120665_FO_2018-LEVEL_0-1000458.pdf,False
120665/FO/2018,120665_FO_2018--942383.pdf,False
120665/FO/2018,120665_FO_2018-LEVEL_4-1000417.pdf,False
120665/FO/2018,120665_FO_2018-APPLICATION_FORM_-_WITHOUT_PERSONAL_DATA-942389.pdf,False
120665/FO/2018,120665_FO_2018-LEVEL_1-1000421.pdf,False
120665/FO/2018,120665_FO_2018-ACOUSTIC_REPORT-1450484.pdf,False
120665/FO/2018,120665_FO_2018-CRIME_IMPACT_STATEMENT-962003.pdf,False
120665/FO/2018,120665_FO_2018--942368.pdf,True
120665/FO/2018,120665_FO_2018-ELEVATIONS-1000389.pdf,False
120665/FO/2018,120665_FO_2018-PHASE_II_GEOENVIRONMENTAL_SITE_INVESTIGATION_REPORT-946665.pdf,False
120665/FO/2018,120665_FO_2018-LANDSCAPING_DETAILS-942370.pdf,False
120665/FO/2018,120665_FO_2018-NOISE_IMPACT_ASSESSMENT-942373.pdf,False
120665/FO/2018,120665_FO_2018-DRAWING_SCHEDULE-962008.pdf,False
120665/FO/2018,120665_FO_2018-STREET_ELEVATIONS_AND_SECTIONS-1000464.pdf,False
120665/FO/2018,120665_FO_2018-DECISION_NOTICE-1037840.pdf,False
120665/FO/2018,120665_FO_2018-LEVEL_3-1000419.pdf,False
120665/FO/2018,120665_FO_2018-WASTE_MANAGEMENT_PROFORMA-962005.pdf,False
120665/FO/2018,120665_FO_2018-FLOOD_RISK_ASSESSMENT-942369.pdf,False
120665/FO/2018,120665_FO_2018-WASTE_MANAGEMENT_STRATEGY-962006.pdf,False
120665/FO/2018,120665_FO_2018-SITE_PLAN_WITH_ROOF_PLAN-1000397.pdf,False
120099/FO/2018,120099_FO_2018-PREMIER_SUITES_GABLE_ELEVATION__CC_-908550.pdf,False
